URL,DESCRIPTION
/images/academy/class-room-facilities.jpeg,CLASSROOM FACILITIES
/images/academy/great-little-people-black.png,"Great Little People, black and white logo. "
/images/academy/great-little-people-white.png,Great Little People White on White Logo. 
https://impulseenglish.s3.us-east-1.amazonaws.com/impulsephotos/%40nabscabDSC_6762.JPEG,Classroom Facilities 1 
/images/academy/nabscabdsc-6774.jpeg,Classroom with computer facilities. 
/images/academy/nabscabdsc-6785.jpeg,"Classroom from up high, Stephens classroom. "
/images/academy/nabscabdsc-6786.jpeg,"Stephen's classroom, different angle. "
https://impulseenglish.s3.us-east-1.amazonaws.com/impulsephotos/01b4eaa4-6bd4-425e-b4d7-c500cae1dea4.JPG,Great Little People Vertical Photo. 
/images/academy/6e08cd95-47b7-4d36-95c7-fecfb41e3883.jpeg,"Official Cambridge cert, vertical. "
https://impulseenglish.s3.us-east-1.amazonaws.com/impulsephotos/Academy+toilets.MOV,Academy toilets 
/images/academy/cambridge-logo.png,"Be prepared, Cambridge logo. "
https://impulseenglish.s3.us-east-1.amazonaws.com/impulsephotos/clase+gratis.png,"Great little people, promotional material. "
https://impulseenglish.s3.us-east-1.amazonaws.com/impulsephotos/ENG_93432_V1_LINGUASKILL_WEB_960x250px_INT_ADULT_3_Adminster+the+exam_logo.jpg,Language skill with woman speaking. 
/images/academy/escuela-gonzalo-18.jpeg,"Daniel helping students, secondary. "
/images/academy/escuela-gonzalo-21.jpeg,INFANTS 
/images/academy/escuela-gonzalo-4.jpeg,Secondary student working happily. 
/images/academy/escuela-gonzalo.jpeg,Secondary student working happily. Concentrating. 
https://impulseenglish.s3.us-east-1.amazonaws.com/impulsephotos/free+class.png,"Poster: Great Little People, apúntate ya. "
/images/academy/img-4117-1.png,Impulse English official logo 
/images/academy/lara-c1-cert.jpeg,Laura Witzert 
https://impulseenglish.s3.us-east-1.amazonaws.com/impulsephotos/Wide+shot+of+academy+entrance.HEIC,Wide view of academy. 
/images/academy/esic-idiomas.jpg,ESSEC Idiomas official logo. 
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/CERT+CAMBRIDGE.png,Cambridge certificates. 
/images/academy/dnny-tour-of-ireland.jpg,Daniel Touring Ireland. 
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/JPEG+UPLOADS/CERT+CAMBRIDGE.png,Cambridge Search Official 
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/GREAT+LIYYLE+PEOPEL+LOGO.png,Great Little People logo. 
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/JPEG+UPLOADS/ENTRANCE+INSIDE+WIDE.jpg,Entrance wide official. 
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/SECONDARY+OFF.jpg,Secondary students 
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/INSIDE+DOOR.png,
/images/academy/great-liyyle-peopel-logo.png,Great Little People logo white. 
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/JPEG+U/images/academy/img-8636.jpgPLOADS/INFANTIL.jpg,Infant students. 
/images/academy/infants-class.jpg,Infant class. 
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/JPEG+UPLOADS/INSIDE+DOOR.jpg,"Just inside door, facilities. "
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/JPEG+UPLOADS/JP+WITH+CERT+AND+STUDENTS+.jpg,JP with cert and students. 
/images/academy/lucia-secundary.jpeg,"Lucia, secondary school student. "
https://impulseenglish.s3.us-east-1.amazonaws.com/NEW/JPEG+UPLOADS/OUTSIDE%2BACADEMY.jpg,Photo from outside the academy. 
/images/academy/priamry.jpg,Primary school student 2. 
/images/academy/secondary-off.jpg,Jorge and the other secondary school students. 
