# ----------------------------------------
# Reports snapshot
# Account: Google Ads Account
# Property: www.impulse-english.es
# ----------------------------------------
#  
# Start date: 20260101
# End date: 20260630
Nth week,Active users
0010,2
0011,6
0012,73
0013,41
0014,79
0015,66
0016,71
0017,80
0018,116
0019,119
0020,132
0021,155
0022,158
0023,145
0024,157
0025,161
0026,57

# Start date: 20260101
# End date: 20260630
Nth week,New users
0010,1
0011,5
0012,70
0013,41
0014,74
0015,62
0016,67
0017,76
0018,108
0019,114
0020,128
0021,154
0022,154
0023,140
0024,150
0025,151
0026,53

# Start date: 20260101
# End date: 20260630
Nth week,Average engagement time per active user
0010,152.5
0011,145.83333333333334
0012,75.6986301369863
0013,91.4390243902439
0014,96.0886075949367
0015,73.36363636363636
0016,50.943661971830984
0017,50.8625
0018,39.46551724137931
0019,56.32773109243698
0020,46.628787878787875
0021,54.10322580645161
0022,60.20886075949367
0023,39.39310344827586
0024,66.87261146496816
0025,77.1863354037267
0026,45.91228070175438

# Start date: 20260101
# End date: 20260630
Nth week,Total revenue
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0

# Where do your new users come from?
# Start date: 20260101
# End date: 20260630
First user primary channel group (Default channel group),New users
Organic Search,1347
Direct,164
Unassigned,15
Referral,9
AI Assistant,7
Organic Social,3
Paid Search,3

#  
# Start date: 20260101
# End date: 20260630
Session primary channel group (Default channel group),Sessions
Organic Search,1651
Direct,250
Unassigned,18
Referral,14
AI Assistant,10
Organic Social,3
Paid Search,3

#  
# Start date: 20260101
# End date: 20260630
Country ID,Active users
AR,14
AZ,1
BE,7
BO,1
CA,2
CH,1
CL,12
CO,12
CR,1
CU,1
DE,3
EC,3
EG,1
ES,1429
FR,4
GB,4
GQ,1
GR,1
GT,2
IE,14
IN,1
IS,1
IT,2
KW,1
MA,1
MX,23
NL,4
PE,7
PL,1
PT,2
SG,1
TR,1
US,15
UY,2

# Start date: 20260101
# End date: 20260630
Country,Active users
ES,1429
MX,23
US,15
AR,14
IE,14
CL,12
CO,12

# How are active users trending?
# Start date: 20260101
# End date: 20260630
Nth day,30 days,7 days,1 day
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,0,0,0
0028,0,0,0
0029,0,0,0
0030,0,0,0
0031,0,0,0
0032,0,0,0
0033,0,0,0
0034,0,0,0
0035,0,0,0
0036,0,0,0
0037,0,0,0
0038,0,0,0
0039,0,0,0
0040,0,0,0
0041,0,0,0
0042,0,0,0
0043,0,0,0
0044,0,0,0
0045,0,0,0
0046,0,0,0
0047,0,0,0
0048,0,0,0
0049,0,0,0
0050,0,0,0
0051,0,0,0
0052,0,0,0
0053,0,0,0
0054,0,0,0
