Date,Not indexed,Indexed,Impressions
2026-04-23,,,1479
2026-04-24,161,150,1225
2026-04-25,166,145,948
2026-04-26,166,145,1120
2026-04-27,166,145,1884
2026-04-28,175,136,1811
2026-04-29,175,136,1823
2026-04-30,175,136,1606
2026-05-01,175,136,1254
2026-05-02,180,130,1071
2026-05-03,180,130,1178
2026-05-04,180,130,2289
2026-05-05,192,119,2471
2026-05-06,192,119,2059
2026-05-07,192,119,1831
2026-05-08,192,119,1562
2026-05-09,187,123,1477
2026-05-10,187,123,1522
2026-05-11,187,123,2221
2026-05-12,199,111,2274
2026-05-13,199,111,2285
2026-05-14,199,111,2121
2026-05-15,199,111,1741
2026-05-16,191,120,1385
2026-05-17,191,120,1863
2026-05-18,191,120,2843
2026-05-19,195,116,2818
2026-05-20,195,116,2576
2026-05-21,195,116,2335
2026-05-22,195,116,2010
2026-05-23,197,114,1509
2026-05-24,197,114,1930
2026-05-25,197,114,3211
2026-05-26,204,107,3808
2026-05-27,204,107,3953
2026-05-28,204,107,3731
2026-05-29,204,107,2976
2026-05-30,204,107,2291
2026-05-31,204,107,2785
2026-06-01,204,107,4202
2026-06-02,208,103,4064
2026-06-03,208,103,3891
2026-06-04,208,103,3434
2026-06-05,208,103,3192
2026-06-06,205,106,3173
2026-06-07,205,106,2447
2026-06-08,205,106,3940
2026-06-09,202,107,3787
2026-06-10,202,107,3643
2026-06-11,202,107,3660
2026-06-12,202,107,3014
2026-06-13,184,108,2266
2026-06-14,184,108,2472
2026-06-15,184,108,3720
2026-06-16,184,108,3737
2026-06-17,184,108,3681
2026-06-18,184,108,3735
2026-06-19,184,108,3797
2026-06-20,184,108,2893
2026-06-21,184,108,2555
2026-06-22,184,108,3787
2026-06-23,184,108,3438
2026-06-24,184,108,3251
2026-06-25,184,108,3806
2026-06-26,184,108,3464
2026-06-27,184,108,2531
2026-06-28,184,108,5572
2026-06-29,184,108,3486
2026-06-30,184,108,3217
2026-07-01,196,119,3239
2026-07-02,196,119,3146
2026-07-03,196,119,3174
2026-07-04,196,119,2139
2026-07-05,196,119,4042
2026-07-06,196,119,3494
2026-07-07,196,119,4519
2026-07-08,196,119,4057
2026-07-09,196,119,3181
2026-07-10,196,119,2993
